epoch,validatorscount
65812,240219.0
66037,241119.0
66262,241378.0
66487,241694.0
66712,242113.0
66937,242386.0
67162,242538.0
67387,242776.0
67612,242913.0
67837,243087.0
68062,243607.0
68287,243916.0
68512,244014.0
68737,244161.0
68962,244291.0
69187,244566.0
69412,244727.0
69637,245618.0
69862,246518.0
70087,246995.0
70312,247143.0
70537,247285.0
70762,247423.0
70987,247599.0
71212,247713.0
71437,247903.0
71662,248063.0
71887,248828.0
72112,248968.0
72337,249059.0
72562,249193.0
72787,249280.0
73012,249436.0
73237,249604.0
73462,249769.0
73687,249890.0
73912,250042.0
74137,250182.0
74362,250374.0
74587,250561.0
74812,250763.0
75037,251403.0
75262,252303.0
75487,252589.0
75712,252842.0
75937,253504.0
76162,254032.0
76387,254213.0
76612,254601.0
76837,255501.0
77062,256000.0
77287,256141.0
77512,256332.0
77737,256519.0
77962,256936.0
78187,257108.0
78412,257211.0
78637,257454.0
78862,257759.0
79087,258559.0
79312,259383.0
79537,259732.0
79762,260005.0
79987,260225.0
80212,260477.0
80437,260941.0
80662,261422.0
80887,261827.0
81112,262202.0
81337,262520.0
81562,262738.0
81787,263135.0
82012,263290.0
82237,263801.0
82462,264498.0
82687,265200.0
82912,265697.0
83137,266074.0
83362,266421.0
83587,266747.0
83812,267420.0
84037,267730.0
84262,268064.0
84487,268346.0
84712,268675.0
84937,269001.0
85162,269274.0
85387,270060.0
85612,270495.0
85837,270893.0
86062,271279.0
86287,271865.0
86512,272465.0
86737,273020.0
86962,273367.0
87187,273652.0
87412,273850.0
87637,274211.0
87862,274394.0
88087,274556.0
88312,274928.0
88537,275054.0
88762,275249.0
88987,275594.0
89212,275880.0
89437,276301.0
89662,276784.0
89887,277530.0
90112,278349.0
90337,278708.0
90562,279235.0
90787,279705.0
91012,280190.0
91237,280372.0
91462,280747.0
91687,281090.0
91912,281332.0
92137,281551.0
92362,282005.0
92587,282320.0
92812,282542.0
93037,282817.0
93262,283119.0
93487,283950.0
93712,284045.0
93937,284350.0
94162,285090.0
94387,285906.0
94612,286806.0
94837,287528.0
95062,287821.0
95287,288221.0
95512,288685.0
95737,289010.0
95962,289129.0
96187,289370.0
96412,289660.0
96637,289904.0
96862,290087.0
97087,290747.0
97312,290961.0
97537,291186.0
97762,291537.0
97987,292158.0
98212,292444.0
98437,292987.0
98662,293411.0
98887,293574.0
99112,294111.0
99337,294585.0
99562,295175.0
99787,295696.0
100012,295996.0
100237,296305.0
100462,296429.0
100687,296635.0
100912,296770.0
101137,297401.0
101362,298301.0
101587,299201.0
101812,299746.0
102037,300250.0
102262,300698.0
102487,301367.0
102712,302207.0
102937,303107.0
103162,304007.0
103387,304907.0
103612,305807.0
103837,306707.0
104062,307606.0
104287,308506.0
104512,309405.0
104737,310305.0
104962,311205.0
105187,312104.0
105412,313004.0
105637,313904.0
105862,314804.0
106087,315704.0
106312,316604.0
106537,317504.0
106762,318404.0
106987,319304.0
107212,320204.0
107437,321104.0
107662,322004.0
107887,322904.0
108112,323804.0
108337,324704.0
108562,325604.0
108787,326504.0
109012,327404.0
109237,328456.0
109462,329581.0
109687,330706.0
109912,331831.0
110137,332954.0
110362,334079.0
